,position_code,skill_id,skill_score
0,100101,10230,10.0
1,100101,10110,5.784061254656776
2,100101,10231,6.394379357229845
3,100101,10282,7.00828283715783
4,100101,4010,4.70947057641364
5,100101,4020,6.4910522647903335
6,100101,4070,5.540167295377475
7,100101,4110,4.816068514006066
8,100101,4050,6.210276296366337
9,100101,10700,6.893091889048948
10,100101,10190,4.88740309629225
11,100101,10260,6.743183736128687
12,100101,3050,6.1476278833294495
13,100101,2030,6.3217511660818095
14,100101,4120,7.15314976988025
15,100101,10280,5.565339211234638
16,100101,6090,5.204493438334184
17,100101,10370,5.04832691340551
18,100101,10210,6.333068833681756
19,100101,10200,6.331661332674142
20,100101,6100,4.918169625555345
21,100101,4100,6.199035988218419
22,100101,4090,5.634266179180809
23,100101,10170,5.9582609616059035
24,100101,10092,5.294804198027673
25,100101,10330,5.294804198027673
26,100101,10120,5.527331819341165
27,100101,2040,4.947989340602053
28,100101,10232,6.018470650918397
29,100101,10180,4.760678337230494
30,100101,10091,2.6868166755090233
31,100101,10240,6.213464010666367
32,100101,3070,4.088974168353238
33,100101,3030,5.094850932512056
34,100101,10050,4.822774867922735
35,100101,6080,5.392377925250713
36,100101,6060,4.639387207049354
37,100101,4040,5.026910256697782
38,100101,10220,4.868463126500219
39,100101,5080,1.0646259192485212
40,100101,10300,5.730564493310938
41,100101,10100,5.069280470783192
42,100101,4030,4.030225013263535
43,100101,4140,4.392380234371705
44,100101,10340,5.822926183449082
45,100101,4130,4.9654504305444656
46,100101,5020,4.686668012038474
47,100101,10060,3.9837009941569876
48,100101,10165,1.8857120046641762
49,100101,10160,3.8833634213535317
50,100101,10221,2.624274700417587
51,100101,10502,4.117064954710498
52,100101,10800,2.624274700417587
53,100101,10302,5.484402021142842
54,100101,3060,4.371312790018525
55,100101,10510,4.305214611767792
56,100101,10730,4.13081077771219
57,100101,3010,5.158338797647732
58,100101,3020,4.767777740949098
59,100101,10020,3.2631260867536707
60,100101,10171,4.258503676994085
61,100101,10650,3.9837009941569876
62,100101,10420,4.381903761812562
63,100101,10361,2.231352950046322
64,100101,10080,3.7101995929353055
65,100101,10303,1.8857120046641762
66,100101,6070,3.119297562338131
67,100101,6030,5.21346631978736
68,100101,10281,4.9654504305444656
69,100101,6020,2.231352950046322
70,100101,4081,4.5191722172046624
71,100101,10710,4.305214611767792
72,100101,10150,5.0050095670023085
73,100101,10151,2.8009560073742983
74,100101,10423,1.3434083377545116
75,100101,10272,3.8290091231088614
76,100101,2041,5.381174745290896
77,100101,10600,1.0646259192485212
78,100101,10130,5.235541631390394
79,100101,6050,3.8474680483274075
80,100101,3052,3.157304954231605
81,100101,10331,4.589680707994229
82,100101,10310,2.3237146401844657
83,100101,10140,3.6448446571651196
84,100101,10900,2.1292518384970425
85,100101,10720,3.079738425880289
86,100101,10250,2.903057118923577
87,100101,2010,3.5250547887457073
88,100101,10010,2.557416173541432
89,100101,10301,3.2959788692948426
90,100101,5060,1.8857120046641762
91,100101,10141,1.5596487811690656
92,100101,10500,3.8474680483274075
93,100101,4060,3.6889006196661085
94,100101,10740,3.2959788692948426
95,100101,10803,1.0646259192485212
96,100101,10270,2.231352950046322
